Date,y1,y2,y3,y4,y5,y6,sum
20/03/2010,18,26,27,48,51,53,223
21/03/2010,6,15,25,27,30,37,140
24/03/2010,14,17,21,31,38,46,167
27/03/2010,15,18,37,39,44,52,205
28/03/2010,2,8,24,31,33,50,148
30/03/2010,16,26,27,39,40,46,194
31/03/2010,16,19,28,36,47,54,200
3/4/2010,11,21,25,39,43,49,188
4/4/2010,1,22,23,48,49,57,200
6/4/2010,10,12,36,40,45,47,190
7/4/2010,2,6,36,38,49,50,181
10/4/2010,19,22,34,41,48,52,216
11/4/2010,1,21,29,30,35,46,162
14/04/2010,3,9,28,33,37,54,164
17/04/2010,13,14,18,29,30,49,153
18/04/2010,7,12,18,31,41,49,158
21/04/2010,10,11,22,29,36,51,159
24/04/2010,2,3,25,26,29,52,137
25/04/2010,10,13,18,31,50,53,175
27/04/2010,1,9,12,27,45,50,144
28/04/2010,2,20,21,22,31,34,130
1/5/2010,7,19,22,25,44,49,166
2/5/2010,5,23,26,27,43,49,173
4/5/2010,13,18,22,40,48,55,196
5/5/2010,30,33,39,41,43,54,240
8/5/2010,6,30,46,48,56,58,244
9/5/2010,8,10,15,21,31,32,117
12/5/2010,17,39,43,44,50,54,247
15/05/2010,1,13,17,21,37,58,147
16/05/2010,11,28,30,37,39,58,203
19/05/2010,1,14,20,42,48,49,174
22/05/2010,5,7,10,11,13,27,73
23/05/2010,12,16,42,43,48,49,210
26/05/2010,10,27,30,36,38,40,181
29/05/2010,8,14,29,41,43,57,192
30/05/2010,14,26,27,40,41,50,198
1/6/2010,5,21,22,24,27,32,131
2/6/2010,1,16,21,41,49,51,179
5/6/2010,4,17,23,34,41,43,162
6/6/2010,2,18,39,45,46,55,205
9/6/2010,5,11,29,32,47,58,182
12/6/2010,3,4,21,26,54,58,166
13/06/2010,6,7,47,50,52,53,215
16/06/2010,14,25,39,42,47,50,217
19/06/2010,6,12,15,18,25,58,134
20/06/2010,8,22,32,43,45,51,201
23/06/2010,5,6,22,50,52,55,190
26/06/2010,6,10,20,29,41,54,160
27/06/2010,6,18,19,41,45,47,176
29/06/2010,13,19,30,35,38,58,193
30/06/2010,19,20,31,33,47,58,208
3/7/2010,5,15,19,20,45,49,153
4/7/2010,6,14,31,35,43,44,173
6/7/2010,2,4,8,18,45,48,125
7/7/2010,2,8,33,36,41,44,164
10/7/2010,7,11,27,28,37,40,150
11/7/2010,4,21,31,44,51,58,209
14/07/2010,7,18,35,41,43,50,194
17/07/2010,3,4,34,37,38,57,173
18/07/2010,8,16,44,45,46,52,211
21/07/2010,5,9,16,38,42,49,159
24/07/2010,5,19,23,28,47,58,180
